"","user_rating_ver","size_bytes","price","price_degree","avg_rating_count_ver","rating_count_ver","sup_devices_num","cont_rating","ipad_sc_urls_num","lang_num","vpp_lic","cont_rating_degree"
"102",4.5,47774720,1.99,"Low",1.26315789473684,48,38,17,5,1,TRUE,"High"
"103",3.5,22259712,0.99,"Low",0.540540540540541,20,37,4,4,1,TRUE,"Low"
"104",4,431771648,2.99,"Low",9.37209302325581,403,43,4,0,6,TRUE,"Low"
"105",2.5,120357888,0,"Low",0.297297297297297,11,37,17,4,1,TRUE,"High"
"106",5,90828800,4.99,"Low",8.30232558139535,357,43,4,5,1,TRUE,"Low"
"107",0,30796800,0,"Low",0,0,37,4,5,1,TRUE,"Low"
"108",3,151397376,0,"Low",0.675675675675676,25,37,4,0,1,TRUE,"Low"
"109",4,46880768,0,"Low",5.51351351351351,204,37,4,5,1,TRUE,"Low"
"110",4.5,48741376,0.99,"Low",2.37837837837838,88,37,4,0,1,TRUE,"Low"
"111",4.5,17145856,1.99,"Low",3.97297297297297,147,37,4,4,12,TRUE,"Low"
"112",0,25808896,0,"Low",0,0,37,17,5,3,TRUE,"High"
"113",5,81924096,0,"Low",15.9189189189189,589,37,4,4,1,TRUE,"Low"
"114",5,19451904,1.99,"Low",0.105263157894737,4,38,17,4,12,TRUE,"High"
"115",4,118683648,0.99,"Low",0.675675675675676,25,37,12,2,1,TRUE,"Middle"
"116",3.5,723764224,249.99,"High",0.27027027027027,10,37,4,5,3,TRUE,"Low"
"117",4,111275008,0,"Low",4.78378378378378,177,37,4,0,1,TRUE,"Low"
"118",0,109616128,0,"Low",0,0,37,12,5,17,TRUE,"Middle"
"119",3.5,120725504,0,"Low",1.7027027027027,63,37,4,5,1,TRUE,"Low"
"120",3,68491264,0,"Low",16.972972972973,628,37,4,5,2,TRUE,"Low"
"121",0,122153984,0,"Low",0,0,37,4,5,1,TRUE,"Low"
"122",5,122315776,0,"Low",23.6216216216216,874,37,4,5,1,TRUE,"Low"
"123",4,17010688,0.99,"Low",3.83720930232558,165,43,12,1,1,FALSE,"Middle"
"124",4.5,3691520,0,"Low",15.2162162162162,563,37,4,3,28,TRUE,"Low"
"125",5,31387648,0.99,"Low",0.162162162162162,6,37,4,0,11,TRUE,"Low"
"126",4.5,135044096,0,"Low",6090.66666666667,73088,12,4,0,35,TRUE,"Low"
"127",4.5,55815168,2.99,"Low",0.405405405405405,15,37,4,5,30,TRUE,"Low"
"128",4.5,132632576,0,"Low",2391.2972972973,88478,37,4,5,1,TRUE,"Low"
"129",5,270729216,4.99,"Low",0.0810810810810811,3,37,4,5,7,TRUE,"Low"
"130",4.5,39827456,4.99,"Low",1.02631578947368,39,38,9,5,1,TRUE,"Middle"
"131",2.5,57328640,0,"Low",5.83783783783784,216,37,4,0,2,TRUE,"Low"
"132",5,40717312,0,"Low",0.243243243243243,9,37,4,5,14,TRUE,"Low"
"133",5,141136896,0,"Low",0.0540540540540541,2,37,4,5,13,TRUE,"Low"
"134",4,146228224,0,"Low",58.2972972972973,2157,37,4,5,3,TRUE,"Low"
"135",5,52294656,9.99,"Normal",0.108108108108108,4,37,4,4,13,TRUE,"Low"
"136",5,16332800,2.99,"Low",0.837837837837838,31,37,4,5,11,TRUE,"Low"
"137",2.5,164382720,0,"Low",0.351351351351351,13,37,4,5,1,TRUE,"Low"
"138",4.5,45712384,0,"Low",10.5945945945946,392,37,4,5,1,TRUE,"Low"
"139",4.5,16086016,0.99,"Low",1.48648648648649,55,37,4,3,1,TRUE,"Low"
"140",4.5,223805440,0.99,"Low",22.6511627906977,974,43,4,0,5,TRUE,"Low"
"141",4,22159360,2.99,"Low",0.72972972972973,27,37,4,3,9,TRUE,"Low"
"142",3.5,20542280,2.99,"Low",17.5348837209302,754,43,12,1,1,TRUE,"Middle"
"143",4,130637824,0,"Low",1.86486486486486,69,37,4,5,3,TRUE,"Low"
"144",3,8900608,1.99,"Low",0.375,15,40,4,0,1,TRUE,"Low"
"145",4.5,180500480,0,"Low",1.24324324324324,46,37,4,5,2,TRUE,"Low"
"146",4.5,19853312,0.99,"Low",4.5,180,40,4,0,1,TRUE,"Low"
"147",5,42926080,0.99,"Low",3.175,127,40,4,5,15,TRUE,"Low"
"148",4.5,36692992,2.99,"Low",32.1891891891892,1191,37,4,5,1,TRUE,"Low"
"149",4.5,36647936,3.99,"Low",3.72972972972973,138,37,4,5,6,TRUE,"Low"
"150",0,91697152,0,"Low",0,0,37,12,5,1,TRUE,"Middle"
"151",3.5,51538944,0,"Low",4.05405405405405,150,37,4,5,2,TRUE,"Low"
"152",4,8302592,3.99,"Low",2.43243243243243,90,37,4,5,26,TRUE,"Low"
"153",2,430128128,6.99,"Normal",1.75675675675676,65,37,12,5,8,TRUE,"Middle"
"154",4.5,69960704,9.99,"Normal",2.89189189189189,107,37,4,5,13,TRUE,"Low"
"155",3,767126,0,"Low",1464.70212765957,68841,47,4,0,1,TRUE,"Low"
"156",4,12996628,0.99,"Low",12.9333333333333,582,45,12,0,1,TRUE,"Middle"
"157",2,139545600,0,"Low",0.864864864864865,32,37,4,0,1,TRUE,"Low"
